"","item","word","fas_usf","match","mismatch"
"1","bank","account",0.035,2,18
"2","bank","money",0.799,15,5
"3","bank","robber",0.035,1,19
"4","bank","teller",0.028,1,19
"5","bank","vault",0.014,1,19
"6","bed","blanket",0,1,19
"7","bed","bug",0.016,1,19
"8","bed","crib",0,1,19
"9","bed","pillow",0.016,2,18
"10","bed","room",0.024,1,19
"11","bed","sheet",0,2,18
"12","bed","sleep",0.638,11,9
"13","bed","time",0,1,19
"14","bulb","light",0.788,18,2
"15","bulb","sore",0,1,19
"16","bulb","tulip",0.041,1,19
"17","cut","bleed",0,1,19
"18","cut","dry",0,1,19
"19","cut","finger",0.022,1,19
"20","cut","hair",0.056,1,19
"21","cut","heal",0,1,19
"22","cut","hurt",0.056,1,19
"23","cut","knife",0.101,5,15
"24","cut","open",0,1,19
"25","cut","paper",0.011,1,19
"26","cut","paste",0,1,19
"27","cut","scissors",0.034,4,16
"28","cut","stab",0,1,19
"29","cut","wound",0.011,1,19
"30","east","coast",0.027,1,19
"31","east","direction",0,1,19
"32","east","left",0,1,19
"33","east","west",0.886,17,3
"34","good","bad",0.758,16,4
"35","good","great",0.036,2,18
"36","good","guess",0,1,19
"37","good","nice",0.012,1,19
"38","ice","cold",0.364,6,14
"39","ice","cream",0.12,1,19
"40","ice","cube",0.06,2,18
"41","ice","fire",0.011,1,19
"42","ice","hockey",0,1,19
"43","ice","machine",0.011,1,19
"44","ice","melt",0.016,2,18
"45","ice","snow",0,1,19
"46","ice","water",0.103,5,15
"47","joke","funny",0.121,14,6
"48","joke","laugh",0.612,6,14
"49","king","crown",0.016,1,19
"50","king","god",0,1,19
"51","king","queen",0.772,16,4
"52","king","royalty",0.016,1,19
"53","king","rule",0,1,19
"54","lost","boys",0,1,19
"55","lost","found",0.747,18,2
"56","lost","match",0,1,19
"57","nail","finger",0.122,2,18
"58","nail","hammer",0.622,17,3
"59","nail","polish",0.071,1,19
"60","needle","hay",0,1,19
"61","needle","haystack",0.03,3,17
"62","needle","pin",0.212,1,19
"63","needle","point",0.024,1,19
"64","needle","sew",0.224,2,18
"65","needle","thread",0.424,12,8
"66","night","day",0.686,12,8
"67","night","evening",0,1,19
"68","night","light",0,2,18
"69","night","moon",0.019,2,18
"70","night","star",0,1,19
"71","night","stars",0,1,19
"72","night","wing",0,1,19
"73","now","later",0.576,10,10
"74","now","no",0,1,19
"75","now","okay",0,1,19
"76","now","present",0.021,2,18
"77","now","then",0.174,5,15
"78","now","today",0,1,19
"79","salt","flavor",0,1,19
"80","salt","pepper",0.701,16,4
"81","salt","shaker",0,1,19
"82","salt","sodium",0,1,19
"83","salt","sugar",0.047,1,19
"84","scratch","hurt",0.034,1,19
"85","scratch","itch",0.359,13,7
"86","scratch","nail",0,1,19
"87","scratch","sniff",0.186,4,16
"88","scratch","ticket",0,1,19
"89","self","aware",0,1,19
"90","self","ego",0.042,1,19
"91","self","esteem",0.028,1,19
"92","self","image",0.021,2,18
"93","self","love",0,1,19
"94","self","me",0.479,8,12
"95","self","my",0,1,19
"96","self","other",0.028,2,18
"97","self","person",0.049,2,18
"98","self","your",0,1,19
"99","snail","bug",0,1,19
"100","snail","crawl",0.014,1,19
"101","snail","mail",0,1,19
"102","snail","pace",0,1,19
"103","snail","shell",0.062,1,19
"104","snail","slime",0,2,18
"105","snail","slow",0.486,7,13
"106","snail","slug",0.068,5,15
"107","snail","trail",0,1,19
"108","stamp","approve",0,1,19
"109","stamp","envelope",0.086,3,17
"110","stamp","letter",0.384,5,15
"111","stamp","lick",0.036,3,17
"112","stamp","mail",0.243,5,15
"113","stamp","postage",0.029,2,18
"114","stamp","rubber",0,1,19
"115","washer","bolt",0,1,19
"116","washer","dish",0.043,2,18
"117","washer","dryer",0.755,16,4
"118","washer","water",0,1,19
